sale_year,median_price,transaction_count,type_encoded,small_area_encoded,rolling_avg_price,transaction_density
2000,316250.0,116,0,0,316250.0,0.016444570456478593
2000,220000.0,309,1,0,268125.0,0.043804933371136945
2000,622500.0,42,0,2,622500.0,0.010040640688501076
2000,295000.0,139,1,2,458750.0,0.03322973942146785
2000,215250.0,258,0,3,215250.0,0.04316546762589928
2000,767500.0,3,0,4,767500.0,9.377637460535775e-05
2000,276000.0,1065,1,4,521750.0,0.033290612984902004
2000,284500.0,57,1,5,284500.0,0.035337879727216366
2000,280000.0,115,0,6,280000.0,0.01639577986883376
2000,231300.0,168,1,7,231300.0,0.0603448275862069
2000,767500.0,39,0,8,767500.0,0.013113651647612643
2000,210000.0,157,1,8,488750.0,0.05279085406859448
2000,322000.0,34,0,10,322000.0,0.009569377990430622
2001,790000.0,42,0,2,569166.6666666666,0.010040640688501076
2001,320000.0,204,1,2,468333.3333333333,0.04876882620129094
2001,282750.0,315,0,3,249000.0,0.05270202442697005
2001,270000.0,211,1,3,256000.0,0.03530199096536724
2001,307500.0,2293,1,4,450333.3333333333,0.07167640899002845
2001,256000.0,99,1,7,243650.0,0.03556034482758621
2001,395000.0,1184,1,9,395000.0,0.06707075284654167
2002,349250.0,297,1,0,295166.6666666667,0.042103770910121914
2002,925000.0,50,0,2,678333.3333333334,0.011953143676786996
2002,399000.0,490,1,2,548000.0,0.11714080803251255
2002,693750.0,31,0,7,393683.3333333333,0.011135057471264368
2002,460500.0,1095,1,9,427750.0,0.062029116863989125
2003,477750.0,101,0,0,349000.0,0.01431811738020981
2003,623975.0,28,0,2,649325.0,0.006693760459000717
2003,358500.0,208,0,3,303750.0,0.03480006692320562
2003,395000.0,125,0,6,337500.0,0.017821499857428
2003,298000.0,234,1,6,324333.3333333333,0.033361847733105215
2003,282500.0,75,1,7,410750.0,0.02693965517241379
2003,800000.0,37,0,8,592500.0,0.012441156691324815
2003,267500.0,158,1,8,425833.3333333333,0.0531271015467384
2004,410000.0,79,0,0,412333.3333333333,0.011199319535015594
2004,330000.0,166,1,2,450991.6666666667,0.039684437006932825
2004,767500.0,2,0,4,450333.3333333333,6.25175830702385e-05
2004,317775.0,923,1,4,464258.3333333333,0.02885186458691507
2004,310000.0,200,1,6,334333.3333333333,0.028514399771884802
2004,795000.0,56,0,7,590416.6666666666,0.020114942528735632
2004,280000.0,45,1,7,452500.0,0.016163793103448277
2004,1170000.0,41,0,8,745833.3333333334,0.01378614660390047
2004,305000.0,126,1,8,580833.3333333334,0.04236718224613315
2004,375000.0,37,0,10,348500.0,0.010413734871939206
2004,350000.0,74,1,10,349000.0,0.02082746974387841
2005,785000.0,52,0,2,579658.3333333334,0.012431269423858474
2005,767500.0,2,0,4,617591.6666666666,6.25175830702385e-05
2005,445000.0,156,0,6,351000.0,0.022241231822070145
2005,845000.0,66,0,7,640000.0,0.023706896551724137
2005,870000.0,43,0,8,781666.6666666666,0.014458641560188298
2005,422500.0,42,0,10,382500.0,0.011820996341120181
2006,445000.0,101,0,0,444250.0,0.01431811738020981
2006,332500.0,208,1,0,395833.3333333333,0.029486815990927135
2006,296250.0,92,1,3,308250.0,0.015392337292956332
2006,307775.0,60,1,7,477591.6666666667,0.021551724137931036
2007,565000.0,653,1,1,565000.0,0.05828275615851482
2007,420000.0,327,1,2,511666.6666666667,0.07817355964618694
2007,349000.0,157,1,3,334583.3333333333,0.026267358206458088
2007,767500.0,4,0,4,617591.6666666666,0.000125035166140477
2007,350000.0,1725,1,4,628333.3333333334,0.05392141539808071
2007,565000.0,159,0,6,440000.0,0.022668947818648418
2007,375000.0,91,1,7,509258.3333333333,0.0326867816091954
2007,1510000.0,37,0,8,895000.0,0.012441156691324815
2007,439000.0,1376,1,9,431500.0,0.07794709114598085
2008,355000.0,211,1,0,377500.0,0.02991210660618089
2008,402500.0,178,1,2,535833.3333333334,0.0425531914893617
2008,362500.0,169,1,3,335916.6666666667,0.028275054375104566
2008,378000.0,1879,1,4,498500.0,0.05873526929448907
2008,373950.0,253,1,6,461316.6666666667,0.036070715711434276
2008,470000.0,1031,1,9,456500.0,0.05840367076417606
2008,580000.0,27,0,10,450833.3333333333,0.007599211933577259
2008,449000.0,181,1,10,483833.3333333333,0.05094286518435125
2009,1750000.0,56,0,2,857500.0,0.013387520918001434
2009,537500.0,253,1,2,896666.6666666666,0.060482907004542195
2009,378000.0,239,1,3,363166.6666666667,0.03998661535887569
2009,767500.0,2,0,4,498500.0,6.25175830702385e-05
2009,580000.0,139,1,5,432250.0,0.08617482951022938
2009,1750000.0,39,0,8,1376666.6666666667,0.013113651647612643
2009,485000.0,153,1,8,1248333.3333333333,0.05144586415601883
2009,886000.0,19,0,9,598333.3333333334,0.001076304310882003
2009,727750.0,23,0,10,585583.3333333334,0.00647340275823248
2010,865000.0,80,0,0,517500.0,0.011341083073433513
2010,1450000.0,57,0,1,1007500.0,0.00508746876115673
2010,610000.0,851,1,1,875000.0,0.07595501606569083
2010,605000.0,190,1,2,964166.6666666666,0.045421945971790584
2010,446000.0,210,1,3,395500.0,0.03513468295131337
2010,457000.0,3766,1,4,534166.6666666666,0.1177206089212591
2010,430750.0,224,1,6,456566.6666666667,0.031936127744510975
2010,516000.0,215,1,7,399591.6666666667,0.07722701149425287
2010,575000.0,2109,1,9,643666.6666666666,0.11946977850790234
2011,845000.0,61,0,0,688333.3333333334,0.008647575843493054
2011,604450.0,772,1,1,888150.0,0.06890396287040343
2011,480000.0,139,1,2,540833.3333333334,0.03322973942146785
2011,620500.0,216,0,3,481500.0,0.036138531035636606
2011,420000.0,158,1,3,495500.0,0.026434666220511962
2011,464000.0,2437,1,4,562833.3333333334,0.07617767497108562
2011,724750.0,110,0,6,509816.6666666667,0.01568291987453664
2011,497000.0,127,1,7,462666.6666666667,0.045617816091954026
2011,580000.0,1342,1,9,680333.3333333334,0.07602107290545516
2012,726000.0,70,0,0,812000.0,0.009923447689254324
2012,460000.0,661,1,0,677000.0,0.0937056988942444
2012,1900000.0,12,0,1,1038150.0,0.0010710460549803642
2012,1600000.0,35,0,2,895000.0,0.008367200573750896
2012,609500.0,194,0,3,550000.0,0.0324577547264514
2012,410000.0,117,1,3,479833.3333333333,0.019575037644303163
2012,478000.0,2208,1,4,466333.3333333333,0.06901941170954332
2012,575000.0,76,1,5,479833.3333333333,0.047117172969621826
2012,700000.0,121,0,6,618500.0,0.017251211861990304
2012,487000.0,97,1,7,500000.0,0.03484195402298851
2012,540000.0,1185,1,9,565000.0,0.06712740044185124
2013,680000.0,201,1,2,920000.0,0.04805163758068372
2013,416500.0,110,1,3,478666.6666666667,0.01840388154592605
2013,767500.0,8,0,4,569833.3333333334,0.000250070332280954
2013,730000.0,252,1,5,628333.3333333334,0.15623062616243025
2013,586000.0,113,1,8,940333.3333333334,0.03799596503026227
2013,578000.0,1462,1,9,566000.0,0.08281878434260466
2013,441250.0,252,1,10,539333.3333333334,0.07092597804672109
